Unnamed: 0,Elo Rank,Player,Age,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Peak Elo,Peak Month,ATP Rank,Log diff
0,1,Jannik Sinner,24.2,2293.2,1,2245.2,2,2153.9,2,2075.0,2329.6,2025-01,2.0,-0.69
1,2,Carlos Alcaraz,22.5,2272.8,2,2188.9,1,2216.6,1,2139.7,2296.4,2025-09,1.0,0.69
2,3,Novak Djokovic,38.4,2089.9,3,2041.6,3,1997.4,3,1950.2,2463.2,2016-05,4.0,-0.29
3,4,Alexander Zverev,28.6,2038.6,4,1994.3,4,1991.9,6,1874.2,2176.5,2022-01,3.0,0.29
4,5,Alex De Minaur,26.8,2004.3,6,1953.7,10,1899.3,9,1838.1,2053.1,2024-06,6.0,-0.18
5,6,Daniil Medvedev,29.9,1994.0,5,1960.5,8,1911.7,5,1876.1,2201.2,2022-01,12.0,-0.69
6,7,Taylor Fritz,28.1,1990.8,8,1931.1,11,1877.9,4,1919.5,2070.2,2025-09,9.0,-0.25
7,8,Felix Auger Aliassime,25.3,1978.8,7,1944.8,12,1860.3,10,1790.7,2062.7,2022-10,7.0,0.13
8,9,Lorenzo Musetti,23.8,1973.8,11,1895.9,5,1981.3,8,1852.9,2050.5,2025-05,5.0,0.59
9,10,Alexander Bublik,28.5,1973.4,14,1885.2,9,1910.7,7,1855.7,1976.5,2025-10,10.0,0.0
10,11,Casper Ruud,27.0,1950.5,15,1884.2,6,1947.3,41,1698.5,2071.9,2022-05,13.0,-0.17
11,12,Ben Shelton,23.0,1947.5,10,1899.3,16,1840.0,13,1789.3,2024.4,2025-08,8.0,0.41
12,13,Jack Draper,23.6,1932.4,13,1890.1,22,1816.6,19,1753.5,2103.8,2025-04,11.0,0.17
13,14,Joao Fonseca,19.1,1931.9,9,1910.2,23,1810.3,37,1707.2,1992.5,2025-03,30.0,-0.76
14,15,Learner Tien,20.0,1926.9,12,1890.5,121,1615.8,38,1705.7,1952.3,2026-01,27.0,-0.59
15,16,Jiri Lehecka,24.1,1916.3,16,1865.4,26,1795.0,11,1790.6,1989.9,2025-10,19.0,-0.17
16,17,Alejandro Davidovich Fokina,26.5,1905.5,18,1856.9,20,1822.0,25,1730.5,1934.8,2025-07,15.0,0.13
17,18,Sebastian Korda,25.5,1886.2,19,1843.3,32,1766.2,14,1775.3,2020.7,2023-01,51.0,-1.04
18,19,Stefanos Tsitsipas,27.3,1886.0,20,1839.0,7,1914.4,31,1717.0,2145.1,2021-05,33.0,-0.55
19,20,Andrey Rublev,28.2,1882.2,21,1838.8,13,1849.3,12,1790.5,2122.1,2021-04,14.0,0.36
20,21,Karen Khachanov,29.6,1878.5,25,1819.6,17,1835.2,16,1767.4,2029.5,2018-10,17.0,0.21
21,22,Hubert Hurkacz,28.8,1875.8,28,1815.7,27,1783.6,18,1754.8,2022.5,2024-06,53.0,-0.88
22,23,Francisco Cerundolo,27.2,1875.4,22,1832.3,14,1846.0,59,1659.9,1961.6,2025-04,20.0,0.14
23,24,Arthur Fils,21.1,1872.6,34,1795.5,15,1842.4,28,1722.4,1985.3,2025-04,42.0,-0.56
24,25,Ugo Humbert,27.5,1869.2,17,1861.6,42,1732.4,30,1720.7,2017.7,2024-03,36.0,-0.36
25,26,Grigor Dimitrov,34.6,1854.7,27,1817.8,36,1755.1,39,1701.6,2111.5,2014-08,45.0,-0.55
26,27,Jakub Mensik,20.3,1854.2,23,1824.2,35,1757.6,44,1688.4,1968.7,2025-04,18.0,0.41
27,28,Flavio Cobolli,23.6,1853.5,38,1781.9,21,1818.6,23,1739.0,1895.6,2025-07,22.0,0.24
28,29,Matteo Berrettini,29.5,1852.4,30,1801.5,18,1830.7,20,1749.5,2065.7,2022-07,56.0,-0.66
29,30,Cameron Norrie,30.3,1850.5,35,1791.1,19,1826.0,21,1746.0,2028.6,2022-08,28.0,0.07
30,31,Tommy Paul,28.6,1848.9,39,1780.7,24,1807.5,29,1721.8,2028.8,2025-05,21.0,0.39
31,32,Gael Monfils,39.0,1848.2,24,1823.1,62,1713.0,53,1674.2,2087.1,2016-10,110.0,-1.23
32,33,Corentin Moutet,26.5,1844.1,40,1775.7,34,1765.0,24,1738.3,1881.9,2025-10,34.0,-0.03
33,34,Brandon Nakashima,24.4,1843.9,31,1799.8,38,1735.5,22,1744.3,1909.5,2024-09,29.0,0.16
34,35,Valentin Vacherot,27.1,1840.4,26,1819.0,66,1709.5,117,1574.2,1867.2,2025-10,32.0,0.09
35,36,Raphael Collignon,23.9,1833.2,29,1806.2,67,1709.4,82,1614.1,1851.1,2026-01,72.0,-0.69
36,37,Zizou Bergs,26.5,1828.6,33,1795.8,70,1705.0,50,1677.6,1859.2,2025-03,43.0,-0.15
37,38,Tallon Griekspoor,29.4,1827.4,45,1766.5,29,1775.4,15,1770.8,1951.8,2025-06,25.0,0.42
38,39,Arthur Rinderknech,30.4,1826.2,41,1775.7,41,1733.3,43,1693.3,1871.8,2025-10,26.0,0.41
39,40,Frances Tiafoe,27.9,1818.4,42,1775.4,30,1774.3,34,1710.0,1974.0,2023-06,31.0,0.25
40,41,Alexander Blockx,20.7,1818.2,36,1789.0,102,1645.5,62,1654.1,1818.2,2026-01,95.0,-0.84
41,42,Jenson Brooksby,25.0,1817.6,47,1762.2,39,1735.0,32,1716.2,2005.3,2022-03,48.0,-0.13
42,43,Gabriel Diallo,24.2,1815.2,55,1741.2,40,1733.6,33,1712.8,1889.2,2025-06,41.0,0.05
43,44,Denis Shapovalov,26.7,1812.8,32,1795.9,55,1721.6,64,1651.9,1983.2,2020-01,23.0,0.65
44,45,Tomas Machac,25.2,1809.2,37,1786.6,61,1714.6,51,1677.5,1972.7,2025-04,35.0,0.25
45,46,Holger Rune,22.4,1806.9,43,1774.5,28,1778.7,56,1663.4,2082.0,2023-05,16.0,1.06
46,47,Alex Michelsen,21.3,1805.8,46,1764.0,98,1652.7,40,1700.5,1904.8,2025-01,37.0,0.24
47,48,Rafael Jodar,19.3,1799.4,44,1769.6,129,1610.3,96,1599.7,1824.9,2026-01,150.0,-1.14
48,49,Jaume Munar,28.6,1797.4,53,1741.6,48,1726.7,70,1633.5,1830.4,2025-10,38.0,0.25
49,50,Marton Fucsovics,33.9,1793.3,54,1741.5,49,1726.4,27,1728.4,1924.2,2021-03,55.0,-0.1
50,51,Marin Cilic,37.2,1791.2,51,1742.4,65,1711.4,17,1766.4,2100.4,2010-02,70.0,-0.32
51,52,Roberto Bautista Agut,37.3,1790.9,65,1724.8,44,1730.8,26,1729.5,2033.8,2016-02,90.0,-0.55
52,53,Arthur Cazaux,23.3,1786.9,62,1731.1,72,1699.8,61,1655.7,1811.9,2025-10,67.0,-0.23
